Year,Month,Day,Weekday,Hour,T1,T2,T3,T4,Load
2002,1,4,6,9,32,32,40,26,2492598
2002,1,4,6,10,35,35,45,30,2400051
2002,1,4,6,11,39,39,48,34,2215034
2002,1,4,6,12,42,43,50,38,1983061
2002,1,4,6,13,45,46,51,38,1754304
2002,1,4,6,14,48,48,52,44,1571357
2002,1,4,6,15,48,49,53,40,1435767
2002,1,4,6,16,49,50,54,39,1375275
2002,1,4,6,17,48,49,53,40,1429165
2002,1,4,6,18,44,45,50,39,1665978
2002,1,4,6,19,40,40,48,32,1998735
2002,1,4,6,20,37,37,46,30,2137847
2002,1,4,6,21,36,37,46,27,2229186
2002,1,4,6,22,34,32,46,26,2283298
2002,1,4,6,23,33,32,50,24,2281377
2002,1,4,6,24,34,35,53,24,2234492
2002,1,5,7,1,33,34,56,22,2206609
2002,1,5,7,2,33,32,70,22,2231348
2002,1,5,7,3,32,32,69,21,2268887
2002,1,5,7,4,32,30,68,20,2315902
2002,1,5,7,5,32,34,67,19,2374934
2002,1,5,7,6,32,32,66,19,2447119
2002,1,5,7,7,32,32,65,19,2454500
2002,1,5,7,8,33,33,64,20,2564974
2002,1,5,7,9,38,37,63,20,2588347
2002,1,5,7,10,44,45,62,19,2445946
2002,1,5,7,11,50,51,61,32,2118183
2002,1,5,7,12,54,54,63,37,1794081
2002,1,5,7,13,56,56,66,42,1539011
2002,1,5,7,14,58,58,68,45,1356704
2002,1,5,7,15,59,60,67,48,1240281
2002,1,5,7,16,59,60,67,49,1165297
2002,1,5,7,17,59,60,68,50,1179711
2002,1,5,7,18,54,56,66,43,1313806
2002,1,5,7,19,52,54,63,37,1500588
2002,1,5,7,20,50,52,62,36,1539604
2002,1,5,7,21,49,51,61,37,1538265
2002,1,5,7,22,49,50,62,36,1506227
2002,1,5,7,23,51,51,62,35,1432499
2002,1,5,7,24,51,52,61,34,1328303
2002,1,6,1,1,51,53,62,30,1229762
2002,1,6,1,2,54,54,71,29,1174651
2002,1,6,1,3,55,56,71,28,1138770
2002,1,6,1,4,56,57,71,27,1104162
2002,1,6,1,5,58,59,71,25,1079453
2002,1,6,1,6,59,61,70,25,1068708
2002,1,6,1,7,59,62,66,24,1085171
2002,1,6,1,8,59,61,66,24,1142253
2002,1,6,1,9,60,60,70,23,1229494
2002,1,6,1,10,60,61,70,22,1263747
2002,1,6,1,11,62,63,73,34,1212010
2002,1,6,1,12,63,64,69,39,1136064
2002,1,6,1,13,64,66,70,43,1097296
2002,1,6,1,14,64,66,72,47,1054309
2002,1,6,1,15,64,67,73,49,1023492
2002,1,6,1,16,64,65,77,50,1025361
2002,1,6,1,17,62,64,70,50,1074447
2002,1,6,1,18,60,61,77,51,1181899
2002,1,6,1,19,58,58,74,47,1327549
2002,1,6,1,20,56,57,73,45,1344816
2002,1,6,1,21,55,55,73,45,1325391
2002,1,6,1,22,53,53,72,44,1266657
2002,1,6,1,23,52,52,72,43,1178158
2002,1,6,1,24,51,51,61,43,1084087
2002,1,7,2,1,51,50,71,41,1023048
2002,1,7,2,2,50,49,70,40,1012136
2002,1,7,2,3,49,47,70,40,1027816
2002,1,7,2,4,48,46,69,39,1055278
2002,1,7,2,5,46,46,69,36,1139646
2002,1,7,2,6,45,45,69,35,1332646
2002,1,7,2,7,45,44,69,36,1600928
2002,1,7,2,8,44,43,69,36,1699503
2002,1,7,2,9,47,46,68,38,1646057
2002,1,7,2,10,49,48,68,37,1525405
2002,1,7,2,11,52,50,72,42,1442199
2002,1,7,2,12,53,52,73,44,1416043
2002,1,7,2,13,54,53,75,44,1383722
2002,1,7,2,14,54,53,76,45,1343702
2002,1,7,2,15,54,53,76,46,1340583
2002,1,7,2,16,53,52,77,45,1378452
2002,1,7,2,17,52,50,77,44,1484364
2002,1,7,2,18,50,48,77,43,1732290
2002,1,7,2,19,47,46,74,39,2000201
2002,1,7,2,20,45,44,73,38,2059685
2002,1,7,2,21,44,43,69,37,2045227
2002,1,7,2,22,42,41,65,36,1979832
2002,1,7,2,23,40,40,61,32,1857638
2002,1,7,2,24,40,39,57,29,1749156
2002,1,8,3,1,37,38,54,28,1715610
2002,1,8,3,2,37,37,69,27,1751294
2002,1,8,3,3,36,36,69,26,1820746
2002,1,8,3,4,35,35,69,25,1912470
2002,1,8,3,5,34,32,68,24,2040578
2002,1,8,3,6,33,31,68,25,2278927
2002,1,8,3,7,32,30,68,22,2563113
2002,1,8,3,8,32,32,68,23,2539939
2002,1,8,3,9,37,36,68,25,2436897
2002,1,8,3,10,40,40,67,24,2198213
2002,1,8,3,11,44,43,73,32,1931112
2002,1,8,3,12,46,45,75,35,1717011
2002,1,8,3,13,49,48,77,38,1547420
2002,1,8,3,14,51,49,79,40,1405947
2002,1,8,3,15,52,51,80,42,1313752
2002,1,8,3,16,52,52,81,42,1298829
2002,1,8,3,17,51,50,81,42,1402963
2002,1,8,3,18,47,46,81,40,1681690
2002,1,8,3,19,42,41,77,32,2036990
2002,1,8,3,20,40,39,76,30,2184852
2002,1,8,3,21,38,38,75,28,2270117
2002,1,8,3,22,37,34,74,26,2272113
2002,1,8,3,23,35,33,74,27,2195409
2002,1,8,3,24,35,34,74,25,2117630
2002,1,9,4,1,35,34,72,25,2110566
2002,1,9,4,2,33,33,71,24,2162937
2002,1,9,4,3,33,33,71,24,2230965
2002,1,9,4,4,32,31,70,24,2311682
2002,1,9,4,5,31,31,70,23,2415660
2002,1,9,4,6,31,31,69,23,2612251
2002,1,9,4,7,30,29,69,23,2753814
2002,1,9,4,8,31,31,69,21,2758670
2002,1,9,4,9,38,36,69,28,2558234
2002,1,9,4,10,45,45,68,27,2311710
2002,1,9,4,11,51,51,72,41,1904962
2002,1,9,4,12,54,55,74,37,1597640
2002,1,9,4,13,57,58,75,40,1374737
2002,1,9,4,14,59,60,76,43,1208446
2002,1,9,4,15,60,61,77,45,1100855
2002,1,9,4,16,60,62,78,45,1073283
2002,1,9,4,17,60,61,78,45,1126684
2002,1,9,4,18,55,55,78,46,1323257
2002,1,9,4,19,51,52,75,43,1599114
2002,1,9,4,20,49,49,74,40,1694863
2002,1,9,4,21,48,48,69,39,1734967
2002,1,9,4,22,45,46,65,36,1716726
2002,1,9,4,23,44,44,60,35,1630621
2002,1,9,4,24,43,44,56,32,1531129
2002,1,10,5,1,43,43,64,34,1485007
2002,1,10,5,2,41,42,65,31,1501558
2002,1,10,5,3,40,40,65,30,1543441
2002,1,10,5,4,40,39,65,29,1597884
2002,1,10,5,5,39,38,65,28,1684665
2002,1,10,5,6,39,38,65,28,1878816
2002,1,10,5,7,38,38,66,28,2155825
2002,1,10,5,8,39,38,66,27,2192188
2002,1,10,5,9,47,48,66,27,1993821
2002,1,10,5,10,55,57,66,26,1664232
2002,1,10,5,11,61,62,68,43,1377462
2002,1,10,5,12,65,66,70,50,1179776
2002,1,10,5,13,67,68,71,56,1051288
2002,1,10,5,14,68,70,71,61,970851
2002,1,10,5,15,69,70,72,64,925444
2002,1,10,5,16,68,69,73,64,921797
2002,1,10,5,17,67,68,71,62,965703
2002,1,10,5,18,61,63,67,55,1095213
2002,1,10,5,19,57,57,66,48,1327251
2002,1,10,5,20,54,55,63,46,1395224
2002,1,10,5,21,52,53,61,41,1397333
2002,1,10,5,22,50,51,59,39,1364713
2002,1,10,5,23,49,50,59,37,1306195
2002,1,10,5,24,47,47,57,37,1215066
2002,1,11,6,1,47,46,59,35,1170991
2002,1,11,6,2,47,46,69,36,1189108
2002,1,11,6,3,46,45,68,34,1235406
2002,1,11,6,4,45,45,67,35,1297160
2002,1,11,6,5,45,44,66,33,1389561
2002,1,11,6,6,45,45,65,33,1591082
2002,1,11,6,7,45,45,64,32,1877420
2002,1,11,6,8,46,46,63,32,1932953
2002,1,11,6,9,53,54,62,45,1750834
2002,1,11,6,10,60,61,66,47,1470029
2002,1,11,6,11,65,66,70,58,1232189
2002,1,11,6,12,69,70,73,62,1070872
2002,1,11,6,13,70,72,74,64,984656
2002,1,11,6,14,71,72,76,68,935249
2002,1,11,6,15,70,71,73,66,902917
2002,1,11,6,16,70,70,73,66,888105
2002,1,11,6,17,68,68,72,65,924987
2002,1,11,6,18,65,64,73,61,1022795
2002,1,11,6,19,61,62,66,56,1176113
2002,1,11,6,20,59,59,64,53,1181676
2002,1,11,6,21,57,58,63,51,1155680
2002,1,11,6,22,55,56,62,49,1124342
2002,1,11,6,23,54,55,61,48,1074021
2002,1,11,6,24,54,54,60,46,998715
2002,1,12,7,1,53,54,59,46,933008
2002,1,12,7,2,52,52,59,45,913734
2002,1,12,7,3,51,52,58,44,917856
2002,1,12,7,4,51,52,57,44,934473
2002,1,12,7,5,51,52,57,43,971146
2002,1,12,7,6,50,51,58,42,1041150
2002,1,12,7,7,50,52,57,42,1153956
2002,1,12,7,8,51,50,57,41,1289000
2002,1,12,7,9,54,56,59,41,1371760
2002,1,12,7,10,59,61,67,39,1305861
2002,1,12,7,11,63,66,71,53,1187211
2002,1,12,7,12,67,69,73,59,1094158
2002,1,12,7,13,68,69,74,62,1035337
2002,1,12,7,14,69,72,74,63,987321
2002,1,12,7,15,70,70,75,65,962229
2002,1,12,7,16,69,69,72,64,959446
2002,1,12,7,17,67,68,72,53,992306
2002,1,12,7,18,64,65,73,52,1057273
2002,1,12,7,19,63,63,68,53,1170120
2002,1,12,7,20,62,63,67,53,1148402
2002,1,12,7,21,61,62,66,50,1103083
2002,1,12,7,22,60,61,65,49,1039785
2002,1,12,7,23,59,61,67,46,957059
2002,1,12,7,24,59,62,67,44,866163
2002,1,13,1,1,58,61,67,42,778298
2002,1,13,1,2,58,62,68,44,732621
2002,1,13,1,3,56,59,67,41,728376
2002,1,13,1,4,53,55,67,40,761314
2002,1,13,1,5,50,52,67,36,822993
2002,1,13,1,6,48,49,68,35,919317
2002,1,13,1,7,47,47,61,34,1074777
2002,1,13,1,8,46,46,61,34,1300952
2002,1,13,1,9,49,51,62,37,1479629
2002,1,13,1,10,52,53,62,35,1445529
2002,1,13,1,11,55,56,66,41,1327375
2002,1,13,1,12,58,58,70,48,1203620
2002,1,13,1,13,60,60,71,53,1119967
2002,1,13,1,14,62,61,73,56,1051131
2002,1,13,1,15,64,63,74,57,995557
2002,1,13,1,16,63,63,75,56,977045
2002,1,13,1,17,62,62,73,55,1016163
2002,1,13,1,18,58,59,72,49,1140482
2002,1,13,1,19,53,53,68,39,1343934
2002,1,13,1,20,53,53,66,44,1407109
2002,1,13,1,21,52,52,64,42,1416455
2002,1,13,1,22,50,50,63,43,1369890
2002,1,13,1,23,50,50,62,43,1265295
2002,1,13,1,24,50,51,62,39,1152141
2002,1,14,2,1,49,51,61,39,1077833
2002,1,14,2,2,50,50,61,40,1048355
2002,1,14,2,3,50,51,61,41,1038939
2002,1,14,2,4,51,52,64,42,1045528
2002,1,14,2,5,52,52,65,40,1088484
2002,1,14,2,6,52,52,68,40,1226920
2002,1,14,2,7,53,53,68,39,1439505
2002,1,14,2,8,53,54,70,39,1461928
2002,1,14,2,9,55,55,72,38,1398420
2002,1,14,2,10,56,55,72,37,1364271
2002,1,14,2,11,58,59,73,48,1339854
2002,1,14,2,12,59,61,71,49,1309059
2002,1,14,2,13,60,63,71,50,1266674
2002,1,14,2,14,61,63,72,49,1218944
2002,1,14,2,15,62,64,73,49,1178613
2002,1,14,2,16,62,65,75,49,1163059
2002,1,14,2,17,62,65,75,49,1207708
2002,1,14,2,18,61,65,73,50,1331742
2002,1,14,2,19,61,64,73,50,1433644
2002,1,14,2,20,61,65,72,50,1398951
2002,1,14,2,21,61,66,72,50,1307107
2002,1,14,2,22,61,63,72,50,1191178
2002,1,14,2,23,60,62,72,49,1051008
2002,1,14,2,24,59,60,71,43,920290
2002,1,15,3,1,58,60,71,47,832287
2002,1,15,3,2,58,59,72,45,800842
2002,1,15,3,3,57,59,72,46,794056
2002,1,15,3,4,57,57,70,45,804508
2002,1,15,3,5,56,57,68,44,848281
2002,1,15,3,6,56,56,67,47,985965
2002,1,15,3,7,56,56,67,46,1210402
2002,1,15,3,8,55,55,67,46,1266755
2002,1,15,3,9,55,55,67,47,1221801
2002,1,15,3,10,56,56,69,50,1188148
2002,1,15,3,11,57,57,69,49,1139761
2002,1,15,3,12,59,59,68,52,1069803
2002,1,15,3,13,61,61,70,56,1007171
2002,1,15,3,14,63,62,73,52,946201
2002,1,15,3,15,64,63,71,52,903227
2002,1,15,3,16,64,65,72,52,898921
2002,1,15,3,17,63,64,71,52,940065
2002,1,15,3,18,59,61,68,55,1066053
2002,1,15,3,19,55,55,66,47,1291288
2002,1,15,3,20,52,53,65,43,1362834
2002,1,15,3,21,51,52,63,41,1372943
2002,1,15,3,22,49,50,60,39,1348140
2002,1,15,3,23,47,49,62,36,1264224
2002,1,15,3,24,47,49,59,35,1181630
2002,1,16,4,1,45,45,58,34,1139636
2002,1,16,4,2,44,45,57,32,1161594
2002,1,16,4,3,43,44,56,32,1211440
2002,1,16,4,4,43,42,56,31,1279885
2002,1,16,4,5,43,43,56,30,1387560
2002,1,16,4,6,42,44,56,29,1620009
2002,1,16,4,7,41,43,55,29,1941972
2002,1,16,4,8,42,43,57,28,2022141
2002,1,16,4,9,47,50,61,28,1856109
2002,1,16,4,10,53,53,68,27,1579222
2002,1,16,4,11,58,60,70,41,1339850
2002,1,16,4,12,62,63,72,47,1163226
2002,1,16,4,13,64,65,73,52,1045616
2002,1,16,4,14,66,66,74,57,965621
2002,1,16,4,15,67,67,76,59,920716
2002,1,16,4,16,67,68,76,58,915905
2002,1,16,4,17,66,66,77,57,963614
2002,1,16,4,18,61,62,75,50,1089603
2002,1,16,4,19,55,55,69,46,1317413
2002,1,16,4,20,53,54,67,42,1387718
2002,1,16,4,21,51,53,66,39,1408569
2002,1,16,4,22,50,50,65,37,1394373
2002,1,16,4,23,48,48,64,35,1310215
2002,1,16,4,24,48,48,64,35,1207816
2002,1,17,5,1,47,47,61,33,1157032
2002,1,17,5,2,47,49,62,33,1165010
2002,1,17,5,3,46,46,63,31,1191872
2002,1,17,5,4,46,49,63,31,1219253
2002,1,17,5,5,46,47,63,30,1272070
2002,1,17,5,6,46,50,62,30,1429416
2002,1,17,5,7,46,50,61,29,1664287
2002,1,17,5,8,47,51,62,29,1673358
2002,1,17,5,9,52,55,64,30,1543912
2002,1,17,5,10,57,55,72,28,1396091
2002,1,17,5,11,62,61,75,43,1260795
2002,1,17,5,12,65,64,76,49,1138936
2002,1,17,5,13,67,66,77,54,1042981
2002,1,17,5,14,68,69,77,58,962259
2002,1,17,5,15,70,71,78,61,914012
2002,1,17,5,16,70,69,79,61,909260
2002,1,17,5,17,68,68,79,61,955375
2002,1,17,5,18,65,65,80,56,1076532
2002,1,17,5,19,62,62,73,46,1272619
2002,1,17,5,20,59,60,70,44,1319115
2002,1,17,5,21,57,58,69,40,1297496
2002,1,17,5,22,56,57,68,40,1235486
2002,1,17,5,23,55,56,69,38,1132252
2002,1,17,5,24,54,55,70,37,1016009
2002,1,18,6,1,53,55,70,35,935651
2002,1,18,6,2,53,56,70,36,914476
2002,1,18,6,3,52,56,70,35,925194
2002,1,18,6,4,52,55,67,35,946968
2002,1,18,6,5,52,54,66,35,1008075
2002,1,18,6,6,51,54,66,35,1182357
2002,1,18,6,7,50,50,65,36,1457934
2002,1,18,6,8,49,52,63,38,1533563
2002,1,18,6,9,53,56,63,39,1425688
2002,1,18,6,10,58,61,66,38,1253286
2002,1,18,6,11,64,65,69,49,1111177
2002,1,18,6,12,67,68,72,54,1008873
2002,1,18,6,13,69,70,74,58,947300
2002,1,18,6,14,72,72,76,62,907519
2002,1,18,6,15,72,73,78,64,887564
2002,1,18,6,16,72,72,79,65,890738
2002,1,18,6,17,71,72,79,65,914941
2002,1,18,6,18,67,68,80,63,971341
2002,1,18,6,19,62,63,71,57,1104106
2002,1,18,6,20,60,61,68,56,1115896
2002,1,18,6,21,58,59,65,50,1076323
2002,1,18,6,22,56,56,64,51,1030612
2002,1,18,6,23,55,55,63,49,967840
2002,1,18,6,24,55,54,62,48,888521
2002,1,19,7,1,54,54,61,48,821502
2002,1,19,7,2,53,53,60,46,801357
2002,1,19,7,3,52,53,60,45,807927
2002,1,19,7,4,52,53,59,45,830015
2002,1,19,7,5,51,52,59,45,872487
2002,1,19,7,6,51,51,59,44,960277
2002,1,19,7,7,50,50,62,43,1081924
2002,1,19,7,8,51,51,63,43,1236745
2002,1,19,7,9,57,59,64,43,1303823
2002,1,19,7,10,62,65,72,41,1216896
2002,1,19,7,11,69,71,76,55,1102655
2002,1,19,7,12,73,75,79,61,1021131
2002,1,19,7,13,75,77,80,65,976952
2002,1,19,7,14,77,77,83,68,949572
2002,1,19,7,15,77,78,82,69,942445
2002,1,19,7,16,77,78,82,69,951184
2002,1,19,7,17,76,76,81,67,969064
2002,1,19,7,18,73,74,81,66,1002625
2002,1,19,7,19,70,70,77,65,1105749
2002,1,19,7,20,68,70,75,62,1097992
2002,1,19,7,21,68,69,73,59,1030608
2002,1,19,7,22,66,69,72,58,957411
2002,1,19,7,23,65,68,71,58,875731
2002,1,19,7,24,64,67,70,57,780039
2002,1,20,1,1,63,66,70,54,689188
2002,1,20,1,2,62,66,70,46,630602
2002,1,20,1,3,61,65,70,45,605072
2002,1,20,1,4,60,64,70,44,597015
2002,1,20,1,5,59,62,68,42,607643
2002,1,20,1,6,58,62,68,41,640267
2002,1,20,1,7,58,61,67,45,710241
2002,1,20,1,8,58,62,69,41,821282
2002,1,20,1,9,59,63,70,42,970171
2002,1,20,1,10,60,63,72,45,1050116
2002,1,20,1,11,63,64,79,49,1048437
2002,1,20,1,12,65,64,79,51,1021913
2002,1,20,1,13,68,67,79,56,1013959
2002,1,20,1,14,70,72,82,57,997106
2002,1,20,1,15,71,72,82,58,985562
2002,1,20,1,16,71,72,82,57,984092
2002,1,20,1,17,71,72,82,58,1008406
2002,1,20,1,18,68,70,82,59,1052504
2002,1,20,1,19,66,67,78,55,1160505
2002,1,20,1,20,64,65,76,54,1148018
2002,1,20,1,21,64,64,75,54,1076734
2002,1,20,1,22,63,64,74,54,985805
2002,1,20,1,23,62,63,73,55,875512
2002,1,20,1,24,63,64,73,56,766893
2002,1,21,2,1,62,63,72,57,671685
2002,1,21,2,2,62,63,72,54,625495
2002,1,21,2,3,62,63,70,55,607791
2002,1,21,2,4,62,63,69,54,603890
2002,1,21,2,5,62,62,68,53,627527
2002,1,21,2,6,62,63,68,52,700254
2002,1,21,2,7,63,64,68,51,802683
2002,1,21,2,8,64,65,69,51,886472
2002,1,21,2,9,65,67,71,51,955990
2002,1,21,2,10,67,67,74,49,1023997
2002,1,21,2,11,69,72,78,58,1056098
2002,1,21,2,12,72,73,80,62,1063283
2002,1,21,2,13,74,76,83,65,1055976
2002,1,21,2,14,75,79,84,66,1045362
2002,1,21,2,15,76,78,84,67,1044770
2002,1,21,2,16,76,75,83,68,1051432
2002,1,21,2,17,75,74,83,67,1082162
2002,1,21,2,18,72,72,83,65,1151729
2002,1,21,2,19,70,72,77,61,1273992
2002,1,21,2,20,68,70,75,59,1267585
2002,1,21,2,21,67,70,73,56,1179112
2002,1,21,2,22,67,69,72,55,1073955
2002,1,21,2,23,65,67,72,53,936436
2002,1,21,2,24,65,67,71,51,800473
2002,1,22,3,1,63,65,70,48,693049
2002,1,22,3,2,63,65,71,48,649226
2002,1,22,3,3,62,65,71,47,630062
2002,1,22,3,4,62,66,72,46,627931
2002,1,22,3,5,62,66,70,46,656070
2002,1,22,3,6,61,66,68,45,766944
2002,1,22,3,7,61,66,70,44,963857
2002,1,22,3,8,62,66,70,44,1009685
2002,1,22,3,9,63,64,72,44,977505
2002,1,22,3,10,64,66,74,42,970813
2002,1,22,3,11,67,70,76,57,967950
2002,1,22,3,12,69,72,78,60,963550
2002,1,22,3,13,70,72,78,62,957317
2002,1,22,3,14,71,73,80,62,957327
2002,1,22,3,15,72,73,81,64,954609
2002,1,22,3,16,72,73,82,62,971096
2002,1,22,3,17,71,72,82,60,1013781
2002,1,22,3,18,70,71,83,60,1107548
2002,1,22,3,19,68,70,78,59,1245605
2002,1,22,3,20,67,69,76,59,1253752
2002,1,22,3,21,67,69,75,59,1179464
2002,1,22,3,22,66,69,74,59,1070532
2002,1,22,3,23,66,68,73,59,934971
2002,1,22,3,24,65,67,73,59,798787
2002,1,23,4,1,65,66,75,57,695404
2002,1,23,4,2,65,66,75,53,651248
2002,1,23,4,3,65,66,75,57,635257
2002,1,23,4,4,64,64,73,57,631757
2002,1,23,4,5,64,66,72,57,657751
2002,1,23,4,6,65,65,71,59,765695
2002,1,23,4,7,65,66,71,60,957938
2002,1,23,4,8,65,66,70,61,995774
2002,1,23,4,9,67,68,75,62,951113
2002,1,23,4,10,71,73,77,64,952395
2002,1,23,4,11,74,76,79,65,974223
2002,1,23,4,12,76,79,81,61,998993
2002,1,23,4,13,78,80,83,62,1025372
2002,1,23,4,14,78,81,84,63,1051169
2002,1,23,4,15,78,81,84,64,1078078
2002,1,23,4,16,78,80,84,65,1115396
2002,1,23,4,17,77,78,83,65,1157794
2002,1,23,4,18,74,74,84,65,1198090
2002,1,23,4,19,71,72,78,63,1297211
2002,1,23,4,20,69,69,76,62,1292556
2002,1,23,4,21,68,69,75,60,1205048
2002,1,23,4,22,66,67,73,57,1093792
2002,1,23,4,23,65,65,73,57,939406
2002,1,23,4,24,65,65,72,56,792078
2002,1,24,5,1,64,66,72,57,680974
2002,1,24,5,2,64,66,72,58,629715
2002,1,24,5,3,64,64,70,58,603404
2002,1,24,5,4,63,64,70,57,598648
2002,1,24,5,5,63,64,70,56,623602
2002,1,24,5,6,63,64,70,58,732516
2002,1,24,5,7,63,63,70,57,934543
2002,1,24,5,8,63,64,69,55,972056
2002,1,24,5,9,66,66,73,60,930245
2002,1,24,5,10,70,71,77,60,927902
2002,1,24,5,11,75,75,79,67,948246
2002,1,24,5,12,77,79,81,70,976104
2002,1,24,5,13,78,79,84,70,1010519
2002,1,24,5,14,79,80,83,69,1035336
2002,1,24,5,15,79,81,84,69,1063524
2002,1,24,5,16,78,79,84,70,1092642
2002,1,24,5,17,78,79,84,69,1130735
2002,1,24,5,18,75,75,84,68,1164874
2002,1,24,5,19,72,72,77,67,1268607
2002,1,24,5,20,70,71,74,66,1278494
2002,1,24,5,21,69,69,73,64,1194192
2002,1,24,5,22,67,68,73,61,1075585
2002,1,24,5,23,67,68,72,61,934011
2002,1,24,5,24,66,68,72,59,785734
2002,1,25,6,1,66,67,72,59,678743
2002,1,25,6,2,65,66,72,57,632592
2002,1,25,6,3,64,66,72,54,608115
2002,1,25,6,4,64,65,78,56,602997
2002,1,25,6,5,63,64,70,55,625636
2002,1,25,6,6,63,64,69,55,724773
2002,1,25,6,7,63,64,70,56,916194
2002,1,25,6,8,64,64,69,57,965818
2002,1,25,6,9,67,68,72,61,938001
2002,1,25,6,10,70,70,75,61,936414
2002,1,25,6,11,73,74,79,59,960966
2002,1,25,6,12,74,77,82,59,987601
2002,1,25,6,13,75,79,82,62,1015747
2002,1,25,6,14,75,77,82,63,1020774
2002,1,25,6,15,74,77,83,62,1019386
2002,1,25,6,16,73,76,84,62,1021545
2002,1,25,6,17,72,76,82,60,1041242
2002,1,25,6,18,70,73,79,61,1091228
2002,1,25,6,19,68,69,76,60,1171086
2002,1,25,6,20,67,70,75,59,1147790
2002,1,25,6,21,66,66,73,58,1079353
2002,1,25,6,22,65,66,73,57,1005193
2002,1,25,6,23,64,64,72,55,912254
2002,1,25,6,24,65,66,72,56,807260
2002,1,26,7,1,63,64,72,53,706152
2002,1,26,7,2,63,63,72,56,649530
2002,1,26,7,3,62,63,72,56,620498
2002,1,26,7,4,62,63,72,56,607074
2002,1,26,7,5,61,63,71,55,612919
2002,1,26,7,6,61,62,71,55,646093
2002,1,26,7,7,61,61,70,54,719149
2002,1,26,7,8,61,62,70,53,821307
2002,1,26,7,9,62,64,71,53,943706
2002,1,26,7,10,64,64,75,52,1026691
2002,1,26,7,11,66,65,80,54,1066855
2002,1,26,7,12,67,66,82,53,1066882
2002,1,26,7,13,68,67,83,54,1055811
