"date","wp1","wp2","wp3","wp4","wp5","wp6","wp7","usage"
2009070210,0.03,0.053,0.049,0,0,0,0,"Training"
2009070211,0.01,0.101,0.04,0,0,0,0,"Training"
2009070212,0,0.074,0.059,0,0,0,0,"Training"
2009070213,0,0.058,0.079,0,0,0,0,"Training"
2009070214,0,0.085,0.079,0,0,0,0,"Training"
2009070215,0,0.085,0.099,0,0,0.013,0,"Training"
2009070216,0.01,0.116,0.099,0.039,0,0.039,0,"Training"
2009070217,0.01,0.143,0.099,0.05,0,0.053,0.025,"Training"
2009070218,0.01,0.175,0.099,0.055,0.005,0.039,0,"Training"
2009070219,0.01,0.175,0.178,0.105,0,0.053,0.025,"Training"
2009070220,0.01,0.201,0.247,0.088,0,0.092,0.076,"Training"
2009070221,0.08,0.222,0.178,0.066,0,0.079,0.076,"Training"
2009070222,0.025,0.291,0.237,0.011,0,0.053,0,"Training"
2009070223,0.08,0.444,0.366,0,0.005,0.053,0,"Training"
2009070300,0.201,0.386,0.415,0,0,0.026,0,"Training"
2009070301,0.12,0.397,0.267,0,0.005,0.013,0,"Training"
2009070302,0.035,0.296,0.138,0,0.005,0,0,"Training"
2009070303,0.05,0.259,0.128,0,0.02,0,0,"Training"
2009070304,0.08,0.206,0.178,0,0.015,0.013,0,"Training"
2009070305,0.065,0.122,0.267,0.039,0.035,0.039,0,"Training"
2009070306,0.14,0.101,0.227,0.072,0.046,0.447,0.354,"Training"
2009070307,0.08,0.106,0.208,0.143,0.03,0.526,0.682,"Training"
2009070308,0.055,0.138,0.178,0.154,0.03,0.382,0.429,"Training"
2009070309,0.025,0.069,0.158,0.072,0.046,0.342,0.303,"Training"
2009070310,0.04,0.053,0.168,0.171,0.071,0.316,0.227,"Training"
2009070311,0.1,0.085,0.138,0.176,0.071,0.158,0.429,"Training"
2009070312,0.175,0.069,0.099,0.094,0.091,0.145,0.354,"Training"
2009070313,0.13,0.106,0.148,0.055,0.121,0.158,0.253,"Training"
2009070314,0.095,0.143,0.168,0.066,0.126,0.132,0.152,"Training"
2009070315,0.095,0.127,0.267,0.105,0.066,0.184,0.177,"Training"
2009070316,0.19,0.159,0.336,0.347,0.106,0.329,0.354,"Training"
2009070317,0.221,0.259,0.237,0.573,0.157,0.329,0.278,"Training"
2009070318,0.226,0.455,0.099,0.441,0.238,0.25,0.152,"Training"
2009070319,0.301,0.524,0.128,0.347,0.334,0.237,0.126,"Training"
2009070320,0.421,0.497,0.188,0.518,0.258,0.237,0.126,"Training"
2009070321,0.486,0.529,0.188,0.468,0.334,0.237,0.126,"Training"
2009070322,0.476,0.492,0.049,0.452,0.399,0.211,0.051,"Training"
2009070323,0.476,0.36,0.049,0.364,0.056,0.211,0.051,"Training"
2009070400,0.521,0.212,0.148,0.187,0.081,0.079,0.025,"Training"
2009070401,0.476,0.09,0.079,0.165,0.091,0.092,0,"Training"
2009070402,0.501,0.074,0.089,0.264,0.283,0.079,0,"Training"
2009070403,0.662,0.058,0.168,0.65,0.253,0.066,0,"Training"
2009070404,0.747,0.021,0.148,0.595,0.278,0.053,0,"Training"
2009070405,0.622,0.042,0.04,0.38,0.349,0.382,0.025,"Training"
2009070406,0.406,0.037,0.059,0.386,0.278,0.368,0.177,"Training"
2009070407,0.19,0.016,0.326,0.088,0.283,0.184,0.227,"Training"
2009070408,0.11,0,0.346,0.006,0.298,0.092,0.101,"Training"
2009070409,0.075,0,0.455,0.011,0.222,0.105,0.051,"Training"
2009070410,0.135,0,0.257,0.05,0.228,0.105,0.051,"Training"
2009070411,0.11,0,0.247,0.171,0.248,0.079,0.025,"Training"
2009070412,0.201,0.016,0.049,0.132,0.359,0.092,0.025,"Training"
2009070413,0.386,0.037,0,0.105,0.45,0.079,0.126,"Training"
2009070414,0.461,0.026,0,0.127,0.344,0.039,0.051,"Training"
2009070415,0.451,0.011,0.01,0.182,0.339,0.053,0.051,"Training"
2009070416,0.376,0.005,0.03,0.116,0.177,0.066,0.076,"Training"
2009070417,0.266,0.021,0.059,0.061,0.177,0.066,0.051,"Training"
2009070418,0.241,0.037,0.089,0.039,0.217,0.053,0.025,"Training"
2009070419,0.236,0.042,0.109,0.033,0.207,0.039,0,"Training"
2009070420,0.226,0.053,0.119,0.061,0.349,0.026,0,"Training"
2009070421,0.271,0.085,0.099,0.028,0.238,0.013,0,"Training"
2009070422,0.271,0.079,0.089,0.006,0.131,0.013,0,"Training"
2009070423,0.296,0.058,0.069,0.022,0.066,0.013,0,"Training"
2009070500,0.19,0.042,0.079,0.017,0.015,0,0,"Training"
2009070501,0.12,0.032,0.059,0.039,0.015,0,0,"Training"
2009070502,0.195,0.021,0.059,0.05,0.025,0,0,"Training"
2009070503,0.281,0.016,0.069,0.05,0.091,0,0,"Training"
2009070504,0.221,0.005,0.049,0.033,0.238,0,0,"Training"
2009070505,0.14,0.021,0,0.039,0.258,0,0,"Training"
2009070506,0.216,0.032,0,0.022,0.243,0.053,0,"Training"
2009070507,0.281,0.037,0,0.154,0.217,0.132,0.076,"Training"
2009070508,0.206,0.058,0,0.176,0.177,0.171,0.126,"Training"
2009070509,0.185,0.122,0,0.127,0.147,0.211,0.126,"Training"
2009070510,0.246,0.159,0,0.039,0.111,0.171,0.177,"Training"
2009070511,0.266,0.148,0,0.006,0.086,0.079,0.076,"Training"
2009070512,0.165,0.185,0,0,0.051,0.013,0,"Training"
2009070513,0.025,0.143,0,0,0.01,0,0,"Training"
2009070514,0.01,0.079,0,0,0,0,0,"Training"
2009070515,0,0.021,0,0,0.02,0,0,"Training"
2009070516,0.01,0.085,0.02,0,0.086,0,0,"Training"
2009070517,0.035,0.053,0.069,0,0.157,0,0,"Training"
2009070518,0.03,0.042,0.099,0.022,0.172,0.013,0,"Training"
2009070519,0.02,0.106,0.138,0.017,0.243,0.039,0,"Training"
2009070520,0.045,0.19,0.168,0.022,0.238,0.053,0,"Training"
2009070521,0.07,0.206,0.168,0,0.248,0.039,0,"Training"
2009070522,0.085,0.185,0.128,0.061,0.278,0.053,0,"Training"
2009070523,0.065,0.317,0.119,0.039,0.167,0.053,0.025,"Training"
2009070600,0.015,0.153,0.119,0.011,0.111,0.197,0.328,"Training"
2009070601,0.01,0.048,0.158,0.088,0.126,0.039,0.101,"Training"
2009070602,0.035,0.085,0.168,0.017,0.096,0.013,0,"Training"
2009070603,0.09,0.138,0.119,0.006,0.056,0.013,0,"Training"
2009070604,0.115,0.233,0.128,0.061,0.03,0.013,0,"Training"
2009070605,0.06,0.37,0.257,0.017,0.015,0.039,0,"Training"
2009070606,0.05,0.54,0.079,0,0.01,0.039,0,"Training"
2009070607,0.03,0.54,0.03,0,0.01,0.013,0,"Training"
2009070608,0,0.481,0.03,0,0.02,0,0,"Training"
2009070609,0,0.471,0.049,0,0,0.013,0,"Training"
2009070610,0.04,0.196,0.119,0,0.02,0.013,0,"Training"
2009070611,0.04,0.153,0.069,0,0.005,0.026,0,"Training"
2009070612,0.09,0.238,0.128,0,0.035,0,0,"Training"
2009070613,0.125,0.132,0.049,0,0.046,0,0,"Training"
2009070614,0.085,0.127,0.069,0.006,0.015,0,0,"Training"
2009070615,0.055,0.201,0.326,0,0.005,0,0,"Training"
2009070616,0.085,0.243,0.405,0,0.03,0.053,0.025,"Training"
2009070617,0.211,0.344,0.366,0.006,0.01,0.079,0.025,"Training"
2009070618,0.266,0.397,0.316,0.105,0.015,0.053,0.025,"Training"
2009070619,0.185,0.45,0.247,0.061,0.051,0.053,0.051,"Training"
2009070620,0.16,0.476,0.217,0.028,0.056,0.053,0.025,"Training"
2009070621,0.075,0.497,0.277,0.006,0.086,0.026,0,"Training"
2009070622,0.175,0.635,0.128,0.006,0.081,0.013,0,"Training"
2009070623,0.12,0.619,0.059,0.121,0.051,0.158,0,"Training"
2009070700,0.02,0.519,0.03,0.132,0.025,0.303,0.354,"Training"
2009070701,0.05,0.413,0,0,0.051,0.066,0.152,"Training"
2009070702,0.07,0.402,0.02,0,0.035,0.013,0,"Training"
2009070703,0.005,0.291,0.336,0.033,0.03,0.053,0,"Training"
2009070704,0,0.196,0.395,0.083,0.005,0.092,0.051,"Training"
2009070705,0.03,0.148,0.237,0,0.005,0.053,0.025,"Training"
2009070706,0.02,0.143,0.069,0.011,0,0,0,"Training"
2009070707,0.075,0.09,0,0.05,0,0,0,"Training"
2009070708,0.105,0.074,0.02,0.176,0,0.013,0,"Training"
2009070709,0.16,0.116,0.158,0.253,0,0.145,0.051,"Training"
2009070710,0.18,0.153,0.099,0.226,0,0.092,0.101,"Training"
2009070711,0.231,0.169,0.089,0.275,0,0.145,0.278,"Training"
2009070712,0.306,0.201,0.099,0.259,0.04,0.092,0.101,"Training"
2009070713,0.286,0.169,0.198,0.287,0.04,0.092,0.152,"Training"
2009070714,0.246,0.228,0.346,0.325,0.03,0.105,0.202,"Training"
2009070715,0.306,0.286,0.296,0.424,0,0.145,0.227,"Training"
2009070716,0.306,0.148,0.356,0.446,0.005,0.25,0.227,"Training"
2009070717,0.306,0.143,0.326,0.446,0.091,0.158,0.227,"Training"
2009070718,0.316,0.153,0.425,0.413,0.308,0.184,0.253,"Training"
2009070719,0.381,0.196,0.543,0.275,0.329,0.263,0.152,"Training"
2009070720,0.411,0.243,0.504,0.364,0.071,0.158,0.076,"Training"
2009070721,0.426,0.317,0.306,0.314,0.061,0.118,0.051,"Training"
2009070722,0.391,0.344,0.208,0.176,0.091,0.105,0.051,"Training"
2009070723,0.346,0.286,0.188,0.132,0.147,0.053,0.051,"Training"
2009070800,0.316,0.254,0.089,0.171,0.096,0.039,0,"Training"
2009070801,0.271,0.19,0.04,0.375,0.116,0.026,0,"Training"
2009070802,0.276,0.143,0.03,0.391,0.116,0.013,0,"Training"
2009070803,0.226,0.159,0.01,0.551,0.076,0.039,0,"Training"
2009070804,0.276,0.138,0,0.749,0.061,0.066,0.025,"Training"
2009070805,0.216,0.069,0,0.452,0.086,0.118,0.152,"Training"
2009070806,0.145,0.063,0,0.171,0.066,0.355,0.177,"Training"
2009070807,0.1,0.058,0.04,0.033,0.061,0.224,0.253,"Training"
2009070808,0.07,0.063,0.079,0.006,0.04,0.079,0.152,"Training"
2009070809,0.06,0.101,0.049,0,0.051,0.026,0.025,"Training"
2009070810,0.06,0.053,0.04,0,0.035,0,0,"Training"
2009070811,0.045,0.042,0.089,0,0.025,0,0,"Training"
2009070812,0.045,0.048,0.079,0,0.01,0,0,"Training"
2009070813,0.085,0.042,0.01,0,0,0,0,"Training"
2009070814,0.085,0.026,0,0,0,0,0,"Training"
2009070815,0.08,0.011,0,0,0,0.013,0,"Training"
2009070816,0.095,0.005,0,0,0,0,0,"Training"
2009070817,0.05,0.021,0,0,0.02,0.013,0,"Training"
2009070818,0.035,0.042,0.02,0,0.015,0.053,0.025,"Training"
2009070819,0.055,0.037,0.04,0,0.025,0.053,0.025,"Training"
2009070820,0.04,0.032,0.059,0.039,0.025,0.066,0.051,"Training"
2009070821,0.035,0.005,0.03,0.033,0.01,0.066,0.025,"Training"
2009070822,0.02,0.069,0.02,0.006,0,0.079,0.025,"Training"
2009070823,0.025,0.101,0.02,0,0,0.053,0.025,"Training"
2009070900,0.06,0.116,0,0.006,0,0.039,0,"Training"
2009070901,0.03,0.101,0,0,0,0.053,0.025,"Training"
2009070902,0.045,0.042,0,0,0,0.066,0.025,"Training"
2009070903,0.065,0.005,0,0.033,0,0.053,0.025,"Training"
2009070904,0.075,0,0,0.017,0.005,0.039,0.025,"Training"
2009070905,0.135,0,0,0,0.035,0.066,0.076,"Training"
2009070906,0.185,0,0,0,0.04,0.053,0.177,"Training"
2009070907,0.075,0,0,0,0.01,0.079,0.227,"Training"
2009070908,0.005,0,0,0,0,0.118,0.202,"Training"
2009070909,0,0,0.01,0,0,0.105,0.177,"Training"
2009070910,0,0,0.01,0.006,0,0.105,0.303,"Training"
2009070911,0.03,0,0.01,0,0.02,0.132,0.253,"Training"
2009070912,0.03,0.005,0.01,0.011,0.01,0.092,0.126,"Training"
2009070913,0,0,0,0.006,0.02,0.013,0.025,"Training"
2009070914,0,0,0.01,0,0.046,0,0,"Training"
2009070915,0,0.011,0.02,0,0.071,0,0,"Training"
2009070916,0,0.011,0.04,0,0.086,0,0,"Training"
2009070917,0,0.005,0.079,0.006,0.071,0.013,0,"Training"
2009070918,0.015,0.037,0.119,0.044,0.071,0.053,0,"Training"
2009070919,0.005,0.106,0.148,0.061,0.071,0.066,0,"Training"
2009070920,0.025,0.185,0.168,0.011,0.056,0.039,0,"Training"
2009070921,0.095,0.302,0.188,0.011,0.035,0.026,0,"Training"
2009070922,0.085,0.429,0.188,0,0.015,0.026,0,"Training"
2009070923,0.13,0.46,0.168,0,0.005,0.026,0,"Training"
2009071000,0.12,0.413,0.158,0,0,0.013,0,"Training"
2009071001,0.095,0.487,0.188,0,0,0,0,"Training"
2009071002,0.095,0.492,0.227,0,0,0.013,0,"Training"
2009071003,0.1,0.545,0.188,0.055,0,0.092,0.177,"Training"
2009071004,0.16,0.577,0.128,0.325,0,0.25,0.328,"Training"
2009071005,0.19,0.577,0.119,0.347,0,0.355,0.328,"Training"
2009071006,0.165,0.571,0.128,0.419,0,0.329,0.328,"Training"
2009071007,0.105,0.556,0.138,0.375,0,0.355,0.429,"Training"
2009071008,0.09,0.534,0.128,0.457,0,0.382,0.379,"Training"
2009071009,0.1,0.656,0.079,0.43,0,0.276,0.328,"Training"
2009071010,0.095,0.683,0.119,0.331,0,0.25,0.303,"Training"
2009071011,0.11,0.608,0.099,0.347,0,0.224,0.328,"Training"
2009071012,0.11,0.455,0.04,0.231,0.005,0.105,0.152,"Training"
2009071013,0.005,0.471,0.01,0.033,0.03,0.039,0.051,"Training"
2009071014,0,0.651,0.04,0.006,0.056,0.039,0,"Training"
2009071015,0.04,0.571,0.04,0.033,0.051,0.092,0.025,"Training"
2009071016,0.165,0.429,0.03,0.116,0.02,0.132,0.101,"Training"
2009071017,0.266,0.46,0.04,0.231,0.025,0.145,0.152,"Training"
2009071018,0.326,0.529,0.04,0.38,0.046,0.289,0.253,"Training"
2009071019,0.351,0.397,0.03,0.452,0.061,0.487,0.328,"Training"
2009071020,0.361,0.476,0.03,0.523,0.056,0.382,0.278,"Training"
2009071021,0.311,0.265,0.01,0.617,0.066,0.289,0.202,"Training"
2009071022,0.306,0.164,0.02,0.595,0.025,0.289,0.202,"Training"
2009071023,0.291,0.138,0.049,0.468,0,0.303,0.177,"Training"
2009071100,0.281,0.063,0.128,0.408,0.005,0.263,0.152,"Training"
2009071101,0.236,0.048,0.217,0.358,0.066,0.263,0.227,"Training"
2009071102,0.366,0.063,0.247,0.441,0.228,0.342,0.354,"Training"
2009071103,0.381,0.053,0.257,0.507,0.374,0.421,0.379,"Training"
2009071104,0.421,0.079,0.366,0.584,0.475,0.447,0.429,"Training"
2009071105,0.481,0.069,0.464,0.623,0.536,0.5,0.48,"Training"
2009071106,0.451,0.063,0.791,0.705,0.465,0.513,0.581,"Training"
2009071107,0.466,0.037,0.711,0.744,0.354,0.513,0.556,"Training"
2009071108,0.476,0.09,0.484,0.716,0.308,0.566,0.606,"Training"
2009071109,0.501,0.275,0.415,0.556,0.334,0.395,0.379,"Training"
2009071110,0.421,0.36,0.346,0.325,0.339,0.25,0.177,"Training"
2009071111,0.251,0.185,0.395,0.176,0.329,0.197,0.177,"Training"
2009071112,0.19,0.116,0.395,0.006,0.374,0.026,0.152,"Training"
2009071113,0.226,0.069,0.178,0.017,0.465,0.066,0.025,"Training"
2009071114,0.18,0.09,0.099,0.039,0.485,0.092,0.101,"Training"
2009071115,0.065,0.212,0,0.143,0.531,0.118,0.051,"Training"
2009071116,0.115,0.254,0.089,0.347,0.455,0.145,0.101,"Training"
2009071117,0.306,0.45,0.543,0.479,0.46,0.25,0.152,"Training"
2009071118,0.471,0.55,0.455,0.364,0.394,0.224,0.051,"Training"
2009071119,0.596,0.608,0.613,0.198,0.44,0.158,0.025,"Training"
2009071120,0.657,0.688,0.346,0.149,0.319,0.118,0.051,"Training"
2009071121,0.586,0.72,0.464,0.314,0.384,0.197,0.025,"Training"
2009071122,0.576,0.746,0.494,0.584,0.349,0.618,0.455,"Training"
2009071123,0.627,0.714,0.514,0.672,0.253,0.737,0.758,"Training"
2009071200,0.546,0.741,0.445,0.496,0.182,0.592,0.606,"Training"
2009071201,0.521,0.735,0.445,0.556,0.076,0.342,0.429,"Training"
2009071202,0.351,0.63,0.583,0.854,0.076,0.368,0.227,"Training"
2009071203,0.536,0.54,0.623,0.887,0.116,0.434,0.227,"Training"
2009071204,0.617,0.418,0.553,0.733,0.228,0.408,0.126,"Training"
2009071205,0.566,0.307,0.168,0.601,0.157,0.382,0.126,"Training"
2009071206,0.411,0.148,0.059,0.551,0.126,0.263,0.076,"Training"
2009071207,0.291,0.063,0.03,0.231,0.106,0.224,0,"Training"
2009071208,0.291,0.058,0,0.072,0.121,0.105,0,"Training"
2009071209,0.391,0.069,0.049,0.017,0.137,0,0,"Training"
2009071210,0.446,0.053,0.099,0.039,0.076,0,0,"Training"
2009071211,0.496,0.037,0.049,0.088,0.046,0.066,0.025,"Training"
2009071212,0.276,0.026,0.02,0.22,0.025,0.105,0.051,"Training"
2009071213,0.075,0.005,0,0.209,0.04,0.145,0.076,"Training"
2009071214,0.18,0,0,0.281,0.025,0.211,0.202,"Training"
2009071215,0.211,0.005,0.01,0.331,0.005,0.329,0.328,"Training"
2009071216,0.296,0.005,0.02,0.402,0.056,0.316,0.278,"Training"
2009071217,0.291,0.005,0.02,0.358,0.142,0.263,0.177,"Training"
2009071218,0.296,0.053,0.059,0.364,0.263,0.197,0.126,"Training"
2009071219,0.376,0.069,0.069,0.309,0.349,0.092,0.025,"Training"
2009071220,0.401,0.122,0.04,0.143,0.465,0.053,0,"Training"
2009071221,0.371,0.153,0.04,0.055,0.501,0.039,0,"Training"
2009071222,0.286,0.291,0.01,0.044,0.475,0.026,0,"Training"
2009071223,0.175,0.349,0.128,0.083,0.46,0.026,0,"Training"
2009071300,0.105,0.344,0.198,0.011,0.389,0.079,0,"Training"
2009071301,0.07,0.344,0.198,0.011,0.222,0.066,0.076,"Training"
2009071302,0.135,0.349,0.198,0.017,0.248,0.066,0.126,"Training"
2009071303,0.165,0.296,0.119,0.05,0.228,0.039,0.076,"Training"
2009071304,0.236,0.132,0.119,0.072,0.142,0.053,0.051,"Training"
2009071305,0.306,0.175,0.435,0.088,0.121,0.053,0.051,"Training"
2009071306,0.336,0.116,0.484,0.099,0.116,0.053,0,"Training"
2009071307,0.296,0.116,0.287,0.055,0.066,0.039,0,"Training"
2009071308,0.236,0.069,0.198,0.05,0.056,0.026,0,"Training"
2009071309,0.201,0.069,0.148,0.105,0.081,0.053,0,"Training"
2009071310,0.291,0.058,0.069,0.16,0.131,0.105,0.025,"Training"
2009071311,0.321,0.063,0.059,0.242,0.152,0.158,0.051,"Training"
2009071312,0.291,0.074,0.01,0.309,0.258,0.211,0.101,"Training"
2009071313,0.326,0.111,0,0.402,0.283,0.303,0.202,"Training"
2009071314,0.486,0.116,0,0.309,0.217,0.434,0.303,"Training"
2009071315,0.451,0.058,0,0.298,0.212,0.329,0.404,"Training"
2009071316,0.576,0.058,0.02,0.275,0.177,0.342,0.379,"Training"
2009071317,0.667,0.143,0.079,0.237,0.167,0.197,0.253,"Training"
2009071318,0.712,0.577,0.128,0.226,0.187,0.171,0.152,"Training"
2009071319,0.787,0.725,0.208,0.198,0.308,0.105,0.126,"Training"
2009071320,0.827,0.815,0.227,0.099,0.177,0.039,0,"Training"
2009071321,0.847,0.772,0.148,0.061,0.101,0.026,0,"Training"
2009071322,0.672,0.561,0.138,0.044,0.243,0.013,0,"Training"
2009071323,0.511,0.249,0.109,0.044,0.501,0.066,0,"Training"
2009071400,0.331,0.111,0.04,0,0.42,0.053,0,"Training"
2009071401,0.18,0.085,0.03,0.132,0.298,0,0,"Training"
2009071402,0.221,0.048,0.079,0.298,0.404,0.026,0,"Training"
2009071403,0.281,0.063,0.109,0.16,0.182,0.039,0.126,"Training"
2009071404,0.371,0.058,0.198,0.226,0.051,0.092,0.051,"Training"
2009071405,0.476,0.106,0.504,0.226,0.015,0.132,0.101,"Training"
2009071406,0.416,0.106,0.573,0.182,0.005,0.158,0.051,"Training"
2009071407,0.401,0.079,0.366,0.083,0.02,0.145,0.076,"Training"
2009071408,0.286,0.058,0.227,0.039,0.081,0.211,0.328,"Training"
2009071409,0.221,0.021,0.109,0.011,0.222,0.158,0.227,"Training"
2009071410,0.19,0.026,0.128,0,0.217,0.066,0.101,"Training"
2009071411,0.316,0.032,0.227,0,0.152,0,0.025,"Training"
2009071412,0.211,0.021,0.079,0,0.111,0,0,"Training"
2009071413,0.17,0,0.04,0,0.061,0,0,"Training"
2009071414,0.185,0,0,0,0.101,0,0,"Training"
2009071415,0.18,0,0,0,0.081,0,0,"Training"
2009071416,0.175,0,0.01,0,0.04,0.026,0,"Training"
2009071417,0.211,0,0.01,0.061,0.061,0.053,0.025,"Training"
2009071418,0.276,0,0.049,0.055,0.182,0.026,0,"Training"
2009071419,0.246,0.016,0.099,0.099,0.162,0.079,0,"Training"
2009071420,0.231,0.005,0.128,0.138,0.076,0.079,0,"Training"
2009071421,0.236,0.016,0.208,0.138,0.02,0.066,0,"Training"
2009071422,0.231,0.011,0.119,0.028,0.025,0.013,0,"Training"
2009071423,0.211,0,0.138,0,0.106,0,0,"Training"
2009071500,0.145,0,0.099,0,0.394,0,0,"Training"
2009071501,0.075,0,0.059,0,0.43,0,0,"Training"
2009071502,0.065,0,0.049,0,0.399,0,0,"Training"
2009071503,0.04,0.021,0.04,0,0.495,0.026,0,"Training"
2009071504,0.05,0.063,0.049,0,0.329,0.053,0,"Training"
2009071505,0.065,0.074,0.059,0.011,0.228,0.066,0.051,"Training"
2009071506,0.08,0.228,0.109,0.066,0.152,0.105,0.227,"Training"
2009071507,0.04,0.413,0.089,0.116,0.096,0.184,0.177,"Training"
2009071508,0.06,0.46,0.069,0.364,0.056,0.184,0.177,"Training"
2009071509,0.135,0.614,0.099,0.253,0.01,0.158,0.177,"Training"
2009071510,0.115,0.619,0.138,0.193,0,0.158,0.227,"Training"
2009071511,0.12,0.508,0.217,0.242,0,0.224,0.303,"Training"
2009071512,0.1,0.857,0.158,0.303,0,0.263,0.328,"Training"
2009071513,0.09,0.831,0.119,0.253,0,0.211,0.202,"Training"
2009071514,0.04,0.926,0.128,0.303,0.005,0.237,0.227,"Training"
2009071515,0.135,0.868,0.109,0.342,0.035,0.303,0.278,"Training"
2009071516,0.216,0.81,0.109,0.413,0.03,0.276,0.227,"Training"
2009071517,0.226,0.651,0.109,0.375,0.076,0.276,0.278,"Training"
2009071518,0.211,0.508,0.089,0.292,0.096,0.342,0.278,"Training"
2009071519,0.201,0.291,0.316,0.463,0.061,0.474,0.404,"Training"
2009071520,0.306,0.138,0.415,0.369,0.046,0.316,0.328,"Training"
2009071521,0.271,0.048,0.474,0.38,0.035,0.434,0.404,"Training"
2009071522,0.316,0.079,0.455,0.529,0.005,0.579,0.53,"Training"
2009071523,0.371,0.101,0.543,0.744,0,0.474,0.48,"Training"
2009071600,0.331,0.111,0.672,0.645,0,0.513,0.379,"Training"
2009071601,0.366,0.058,0.81,0.595,0,0.303,0.328,"Training"
2009071602,0.366,0.175,0.711,0.551,0,0.263,0.328,"Training"
2009071603,0.366,0.376,0.603,0.534,0.005,0.395,0.303,"Training"
2009071604,0.406,0.434,0.543,0.402,0.005,0.342,0.278,"Training"
2009071605,0.356,0.402,0.583,0.264,0.02,0.197,0.177,"Training"
2009071606,0.281,0.407,0.543,0.237,0.066,0.224,0.227,"Training"
2009071607,0.326,0.317,0.514,0.496,0.071,0.566,0.606,"Training"
2009071608,0.471,0.243,0.613,0.463,0.116,0.513,0.505,"Training"
2009071609,0.431,0.138,0.711,0.303,0.051,0.197,0.227,"Training"
2009071610,0.165,0.085,0.375,0.226,0.061,0.118,0.076,"Training"
2009071611,0.256,0.042,0.484,0.072,0.364,0.066,0,"Training"
2009071612,0.261,0.063,0.375,0.028,0.404,0.053,0,"Training"
2009071613,0.17,0.053,0.148,0.033,0.344,0.026,0,"Training"
2009071614,0.115,0.053,0.109,0.033,0.222,0.013,0,"Training"
2009071615,0.145,0.011,0.119,0,0.177,0.013,0,"Training"
2009071616,0.145,0.074,0.158,0,0.278,0,0,"Training"
2009071617,0.165,0.122,0.425,0,0.339,0,0,"Training"
2009071618,0.201,0.143,0.593,0,0.359,0.026,0,"Training"
2009071619,0.261,0.127,0.563,0.044,0.435,0.079,0.101,"Training"
2009071620,0.206,0.143,0.563,0.331,0.445,0.25,0.253,"Training"
2009071621,0.251,0.206,0.652,0.408,0.445,0.158,0.126,"Training"
2009071622,0.256,0.153,0.563,0.303,0.521,0.105,0.076,"Training"
2009071623,0.391,0.053,0.603,0.231,0.475,0.066,0.051,"Training"
2009071700,0.241,0.085,0.692,0.298,0.233,0.132,0.051,"Training"
2009071701,0.15,0.159,0.573,0.143,0.081,0.171,0.051,"Training"
2009071702,0.135,0.058,0.435,0.127,0.04,0.105,0.076,"Training"
2009071703,0.145,0.016,0.326,0.088,0.02,0.066,0.076,"Training"
2009071704,0.206,0.016,0.099,0,0.005,0.026,0.051,"Training"
2009071705,0.135,0.005,0.099,0,0,0.013,0,"Training"
2009071706,0.02,0.026,0.089,0,0.066,0.053,0,"Training"
2009071707,0,0.042,0.267,0.05,0.197,0.066,0,"Training"
2009071708,0,0.063,0.01,0.099,0.121,0.092,0.101,"Training"
2009071709,0,0.016,0,0.198,0.111,0.145,0.152,"Training"
